symbol,earnings_date,trading_date,source,confidence,release_time,eps_actual,eps_estimate,eps_surprise_pct
ACN,2024-12-19,2024-12-20,yahoo,actual,unknown,3.59,3.42,5.12
ACN,2025-03-20,2025-03-21,yahoo,actual,unknown,2.82,2.79,1.11
ACN,2025-06-20,2025-06-23,yahoo,actual,unknown,3.49,3.32,5.03
ACN,2025-09-25,2025-09-26,yahoo,actual,unknown,3.03,2.97,1.97
ACN,2025-12-18,2025-12-19,yahoo,actual,unknown,3.94,3.72,5.87
ADBE,2024-03-14,2024-03-15,yahoo,actual,unknown,4.48,4.38,2.23
ADBE,2024-06-13,2024-06-14,yahoo,actual,unknown,4.48,4.4,1.92
ADBE,2024-09-12,2024-09-13,yahoo,actual,unknown,4.65,4.54,2.49
ADBE,2024-12-11,2024-12-12,yahoo,actual,unknown,4.81,4.67,3.01
ADBE,2025-03-12,2025-03-13,yahoo,actual,unknown,5.08,4.97,2.17
ADBE,2025-06-12,2025-06-13,yahoo,actual,unknown,5.06,4.97,1.71
ADBE,2025-09-11,2025-09-12,yahoo,actual,unknown,5.31,5.18,2.48
ADBE,2025-12-10,2025-12-11,yahoo,actual,unknown,5.5,5.4,1.9
ADC,2024-02-13,2024-02-14,yahoo,actual,unknown,0.47,0.46,2.29
ADC,2024-04-23,2024-04-24,yahoo,actual,unknown,0.47,0.46,2.8
ADC,2024-07-23,2024-07-24,yahoo,actual,unknown,0.45,0.45,1.03
ADC,2024-10-22,2024-10-23,yahoo,actual,unknown,0.4,0.43,-7.15
ADC,2025-02-11,2025-02-12,yahoo,actual,unknown,0.41,0.43,-4.05
ADC,2025-04-22,2025-04-23,yahoo,actual,unknown,0.46,0.43,8.04
ADC,2025-07-31,2025-08-01,yahoo,actual,unknown,0.46,0.46,-0.08
ADC,2025-10-21,2025-10-22,yahoo,actual,unknown,0.45,0.44,1.26
ADI,2024-02-21,2024-02-22,yahoo,actual,unknown,1.73,1.71,1.43
ADI,2024-05-22,2024-05-23,yahoo,actual,unknown,1.4,1.27,10.34
ADI,2024-08-21,2024-08-22,yahoo,actual,unknown,1.58,1.51,4.83
ADI,2024-11-26,2024-11-27,yahoo,actual,unknown,1.67,1.64,1.88
ADI,2025-02-19,2025-02-20,yahoo,actual,unknown,1.63,1.54,5.6
ADI,2025-05-22,2025-05-23,yahoo,actual,unknown,1.14,0.99,15.49
ADI,2025-08-20,2025-08-21,yahoo,actual,unknown,2.05,1.95,5.33
ADI,2025-11-25,2025-11-26,yahoo,actual,unknown,2.26,2.23,1.13
ADM,2024-03-12,2024-03-13,yahoo,actual,unknown,1.36,1.43,-5.02
ADM,2024-04-30,2024-05-01,yahoo,actual,unknown,1.46,1.37,6.74
ADM,2024-07-30,2024-07-31,yahoo,actual,unknown,1.03,1.24,-16.84
ADM,2024-11-18,2024-11-19,yahoo,actual,unknown,1.09,1.09,-0.02
ADM,2025-02-04,2025-02-05,yahoo,actual,unknown,1.17,1.17,-0.06
ADM,2025-05-06,2025-05-07,yahoo,actual,unknown,0.7,0.67,4.46
ADM,2025-08-05,2025-08-06,yahoo,actual,unknown,0.93,0.8,16.82
ADM,2025-11-04,2025-11-05,yahoo,actual,unknown,0.92,0.85,7.91
ADP,2024-01-31,2024-02-01,yahoo,actual,unknown,2.13,2.1,1.35
ADP,2024-05-01,2024-05-02,yahoo,actual,unknown,2.88,2.78,3.45
ADP,2024-07-31,2024-08-01,yahoo,actual,unknown,2.09,2.06,1.38
ADP,2024-10-30,2024-10-31,yahoo,actual,unknown,2.33,2.21,5.32
ADP,2025-01-29,2025-01-30,yahoo,actual,unknown,2.35,2.3,2.38
ADP,2025-04-30,2025-05-01,yahoo,actual,unknown,3.06,2.97,2.93
ADP,2025-07-30,2025-07-31,yahoo,actual,unknown,2.23,2.23,0.18
ADP,2025-10-29,2025-10-30,yahoo,actual,unknown,2.49,2.45,1.8
ADSK,2024-02-29,2024-03-01,yahoo,actual,unknown,2.09,1.95,7.29
ADSK,2024-06-10,2024-06-11,yahoo,actual,unknown,1.87,1.77,5.69
ADSK,2024-08-29,2024-08-30,yahoo,actual,unknown,2.15,2.0,7.28
ADSK,2024-11-26,2024-11-27,yahoo,actual,unknown,2.17,2.12,2.42
ADSK,2025-02-27,2025-02-28,yahoo,actual,unknown,2.29,2.14,7.01
ADSK,2025-05-22,2025-05-23,yahoo,actual,unknown,2.29,2.15,6.67
ADSK,2025-08-28,2025-08-29,yahoo,actual,unknown,2.62,2.45,7.01
ADSK,2025-11-25,2025-11-26,yahoo,actual,unknown,2.67,2.5,6.89
ADT,2024-02-28,2024-02-29,yahoo,actual,unknown,0.25,0.06,319.6
ADT,2024-04-25,2024-04-26,yahoo,actual,unknown,0.16,0.15,6.26
ADT,2024-08-01,2024-08-02,yahoo,actual,unknown,0.17,0.17,2.24
ADT,2024-10-24,2024-10-25,yahoo,actual,unknown,0.2,0.17,17.23
ADT,2025-02-27,2025-02-28,yahoo,actual,unknown,0.2,0.19,6.36
ADT,2025-04-24,2025-04-25,yahoo,actual,unknown,0.15,0.16,-6.25
ADT,2025-07-24,2025-07-25,yahoo,actual,unknown,0.23,0.2,14.98
ADT,2025-11-04,2025-11-05,yahoo,actual,unknown,0.23,0.22,6.85
AEE,2024-02-22,2024-02-23,yahoo,actual,unknown,0.6,0.61,-1.52
AEE,2024-05-02,2024-05-03,yahoo,actual,unknown,0.98,1.06,-7.98
AEE,2024-08-01,2024-08-02,yahoo,actual,unknown,0.97,0.93,4.18
AEE,2024-11-06,2024-11-07,yahoo,actual,unknown,1.87,1.92,-2.39
AEE,2025-02-13,2025-02-14,yahoo,actual,unknown,0.77,0.78,-1.19
AEE,2025-05-01,2025-05-02,yahoo,actual,unknown,1.07,1.07,0.47
AEE,2025-07-31,2025-08-01,yahoo,actual,unknown,1.01,1.0,1.42
AEE,2025-11-05,2025-11-06,yahoo,actual,unknown,2.17,2.11,3.03
AEP,2024-02-26,2024-02-27,yahoo,actual,unknown,1.23,1.26,-2.28
AEP,2024-04-30,2024-05-01,yahoo,actual,unknown,1.27,1.26,1.06
AEP,2024-07-30,2024-07-31,yahoo,actual,unknown,1.25,1.23,1.3
AEP,2024-11-06,2024-11-07,yahoo,actual,unknown,1.85,1.8,3.05
AEP,2025-02-13,2025-02-14,yahoo,actual,unknown,1.24,1.24,-0.19
AEP,2025-05-06,2025-05-07,yahoo,actual,unknown,1.54,1.4,9.86
AEP,2025-07-30,2025-07-31,yahoo,actual,unknown,1.43,1.27,12.83
AEP,2025-10-29,2025-10-30,yahoo,actual,unknown,1.8,1.81,-0.28
AES,2024-02-26,2024-02-27,yahoo,actual,unknown,0.73,0.67,9.17
AES,2024-05-02,2024-05-03,yahoo,actual,unknown,0.5,0.34,46.49
AES,2024-08-01,2024-08-02,yahoo,actual,unknown,0.38,0.37,1.84
AES,2024-10-31,2024-11-01,yahoo,actual,unknown,0.71,0.65,8.48
AES,2025-02-28,2025-03-03,yahoo,actual,unknown,0.54,0.35,56.45
AES,2025-05-01,2025-05-02,yahoo,actual,unknown,0.27,0.33,-17.83
AES,2025-07-31,2025-08-01,yahoo,actual,unknown,0.51,0.4,28.96
AES,2025-11-04,2025-11-05,yahoo,actual,unknown,0.89,0.64,39.06
AFG,2024-02-06,2024-02-07,yahoo,actual,unknown,2.84,2.89,-1.72
AFG,2024-05-01,2024-05-02,yahoo,actual,unknown,2.76,2.73,1.02
AFG,2024-08-06,2024-08-07,yahoo,actual,unknown,2.56,2.44,4.96
AFG,2024-11-05,2024-11-06,yahoo,actual,unknown,2.31,2.46,-6.22
AFG,2025-02-04,2025-02-05,yahoo,actual,unknown,3.12,3.01,3.71
AFG,2025-05-06,2025-05-07,yahoo,actual,unknown,1.84,2.08,-11.54
AFG,2025-08-05,2025-08-06,yahoo,actual,unknown,2.14,2.1,1.71
AFG,2025-11-04,2025-11-05,yahoo,actual,unknown,2.69,2.51,7.24
AFL,2024-01-31,2024-02-01,yahoo,actual,unknown,1.25,1.45,-14.04
AFL,2024-05-01,2024-05-02,yahoo,actual,unknown,1.66,1.58,5.17
AFL,2024-07-31,2024-08-01,yahoo,actual,unknown,1.83,1.6,14.51
AFL,2024-10-30,2024-10-31,yahoo,actual,unknown,2.16,1.68,28.3
AFL,2025-02-05,2025-02-06,yahoo,actual,unknown,1.56,1.62,-3.53
AFL,2025-04-30,2025-05-01,yahoo,actual,unknown,0.05,1.67,-97.01
AFL,2025-08-05,2025-08-06,yahoo,actual,unknown,1.78,1.71,4.35
AFL,2025-11-04,2025-11-05,yahoo,actual,unknown,3.08,1.78,73.38
AFRM,2024-02-08,2024-02-09,yahoo,actual,unknown,-0.54,-0.55,1.36
AFRM,2024-05-08,2024-05-09,yahoo,actual,unknown,-0.41,-0.3,-37.27
AFRM,2024-08-28,2024-08-29,yahoo,actual,unknown,-0.14,-0.44,68.27
AFRM,2024-11-07,2024-11-08,yahoo,actual,unknown,-0.31,-0.32,4.1
AFRM,2025-02-06,2025-02-07,yahoo,actual,unknown,0.23,-0.17,239.03
AFRM,2025-05-08,2025-05-09,yahoo,actual,unknown,0.19,0.4,-51.8
AFRM,2025-08-28,2025-08-29,yahoo,actual,unknown,0.53,0.43,22.49
AFRM,2025-11-06,2025-11-07,yahoo,actual,unknown,0.23,0.11,105.23
AGCO,2024-02-06,2024-02-07,yahoo,actual,unknown,3.78,4.03,-6.26
AGCO,2024-05-02,2024-05-03,yahoo,actual,unknown,2.32,2.32,-0.01
AGCO,2024-07-30,2024-07-31,yahoo,actual,unknown,2.53,2.96,-14.58
AGCO,2024-11-05,2024-11-06,yahoo,actual,unknown,0.68,1.08,-36.89
AGCO,2025-02-06,2025-02-07,yahoo,actual,unknown,1.97,1.83,7.52
AGCO,2025-05-01,2025-05-02,yahoo,actual,unknown,0.41,0.04,976.4
AGCO,2025-07-31,2025-08-01,yahoo,actual,unknown,1.35,1.08,25.49
AGCO,2025-10-31,2025-11-03,yahoo,actual,unknown,1.35,1.22,11.08
AGNC,2024-01-22,2024-01-23,yahoo,actual,unknown,0.6,0.61,-1.32
AGNC,2024-04-22,2024-04-23,yahoo,actual,unknown,0.58,0.57,1.3
AGNC,2024-07-22,2024-07-23,yahoo,actual,unknown,0.53,0.54,-1.65
AGNC,2024-10-21,2024-10-22,yahoo,actual,unknown,0.39,0.47,-16.2
AGNC,2025-01-27,2025-01-28,yahoo,actual,unknown,0.1,0.41,-75.46
AGNC,2025-04-21,2025-04-22,yahoo,actual,unknown,0.44,0.41,8.58
AGNC,2025-07-21,2025-07-22,yahoo,actual,unknown,0.38,0.41,-7.43
AGNC,2025-10-20,2025-10-21,yahoo,actual,unknown,0.35,0.39,-9.44
AGO,2024-02-27,2024-02-28,yahoo,actual,unknown,5.75,1.12,411.6
AGO,2024-05-07,2024-05-08,yahoo,actual,unknown,1.96,1.4,39.52
AGO,2024-08-07,2024-08-08,yahoo,actual,unknown,1.44,1.42,1.76
AGO,2024-11-11,2024-11-12,yahoo,actual,unknown,2.42,1.41,71.99
AGO,2025-02-27,2025-02-28,yahoo,actual,unknown,1.27,1.42,-10.46
AGO,2025-05-08,2025-05-09,yahoo,actual,unknown,3.18,2.61,22.05
AGO,2025-08-07,2025-08-08,yahoo,actual,unknown,1.01,1.59,-36.63
AGO,2025-11-06,2025-11-07,yahoo,actual,unknown,2.57,1.54,67.2
AIG,2024-02-13,2024-02-14,yahoo,actual,unknown,1.79,1.64,9.19
AIG,2024-05-01,2024-05-02,yahoo,actual,unknown,1.77,1.66,6.68
AIG,2024-07-31,2024-08-01,yahoo,actual,unknown,1.16,1.3,-10.88
AIG,2024-11-04,2024-11-05,yahoo,actual,unknown,0.71,1.3,-45.24
AIG,2025-02-11,2025-02-12,yahoo,actual,unknown,1.3,1.23,5.97
